category_test,category_fixture,category_stage,FAI10,FAI12,FAI13,FAI14
C,V3,channel3,,31.9033999999991,,
C,V3,channel1,,31.9106999999991,,
C,V3,channel3,,31.9179999999991,,
C,V3,channel1,,31.9252999999991,,
C,V3,channel3,,31.9325999999991,,
C,V3,channel1,,31.939899999999,,
C,V3,channel3,,31.947199999999,,
C,V3,channel1,,31.954499999999,,
C,V3,channel3,,31.961799999999,,
C,V3,channel1,,31.969099999999,,
C,V3,channel3,,31.976399999999,,
C,V3,channel1,,31.983699999999,,
C,V3,channel3,,31.990999999999,,
C,V3,channel1,,31.998299999999,,
C,V3,channel3,,32.005599999999,,
C,V3,channel1,,32.012899999999,,
C,V3,channel3,,32.020199999999,,
C,V3,channel1,,32.027499999999,,
C,V3,channel3,,32.034799999999,,
C,V3,channel1,,32.042099999999,,
C,V3,channel3,,32.049399999999,,
C,V3,channel1,,32.056699999999,,
C,V3,channel3,,32.063999999999,,
C,V3,channel1,,32.071299999999,,
C,V3,channel3,,32.078599999999,,
C,V3,channel1,,32.085899999999,,
C,V3,channel3,,32.093199999999,,
C,V3,channel1,,32.100499999999,,
C,V3,channel3,,32.107799999999,,
C,V3,channel1,,32.115099999999,,
C,V3,channel3,,32.122399999999,,
C,V3,channel1,,32.129699999999,,
C,V3,channel3,,32.136999999999,,
C,V3,channel1,,32.144299999999,,
C,V3,channel3,,32.151599999999,,
C,V3,channel1,,32.158899999999,,
C,V3,channel3,,32.166199999999,,
C,V3,channel1,,32.173499999999,,
C,V3,channel3,,32.180799999999,,
C,V3,channel1,,32.188099999999,,
C,V3,channel3,,32.195399999999,,
C,V3,channel1,,32.2026999999989,,
C,V3,channel3,,32.2099999999989,,
C,V3,channel1,,32.2172999999989,,
C,V3,channel3,,32.2245999999989,,
C,V3,channel1,,32.2318999999989,,
C,V3,channel3,,32.2391999999989,,
C,V3,channel1,,32.2464999999989,,
C,V3,channel3,,32.2537999999989,,
C,V3,channel1,,32.2610999999989,,
C,V3,channel3,,32.2683999999989,,
C,V3,channel1,,32.2756999999989,,
C,V3,channel3,,32.2829999999989,,
C,V3,channel1,,32.2902999999989,,
C,V3,channel3,,32.2975999999989,,
C,V3,channel1,,32.3048999999989,,
C,V3,channel3,,32.3121999999989,,
C,V3,channel1,,32.3194999999989,,
C,V3,channel3,,32.3267999999989,,
C,V3,channel1,,32.3340999999989,,
C,V3,channel3,,32.3413999999989,,
C,V3,channel1,,32.3486999999989,,
C,V3,channel3,,32.3559999999989,,
C,V3,channel1,,32.3632999999989,,
C,V3,channel3,,32.3705999999989,,
C,V3,channel1,,32.3778999999989,,
C,V3,channel3,,32.3851999999989,,
C,V3,channel1,,32.3924999999989,,
C,V3,channel3,,32.3997999999989,,
C,V3,channel1,,32.4070999999989,,
C,V3,channel3,,32.4143999999989,,
C,V3,channel1,,32.4216999999989,,
C,V3,channel3,,32.4289999999989,,
C,V3,channel1,,32.4362999999989,,
C,V3,channel3,,32.4435999999989,,
C,V3,channel1,,32.4508999999989,,
C,V3,channel3,,32.4581999999989,,
C,V3,channel1,,32.4654999999988,,
C,V3,channel3,,32.4727999999988,,
C,V3,channel1,,32.4800999999988,,
C,V3,channel3,,32.4873999999988,,
C,V3,channel1,,32.4946999999988,,
C,V3,channel3,,32.5019999999988,,
C,V3,channel1,,32.5092999999988,,
C,V3,channel3,,32.5165999999988,,
C,V3,channel1,,32.5238999999988,,
C,V3,channel3,,32.5311999999988,,
C,V3,channel1,,32.5384999999988,,
C,V3,channel3,,32.5457999999988,,
C,V3,channel1,,32.5530999999988,,
C,V3,channel3,,32.5603999999988,,
C,V3,channel1,,32.5676999999988,,
C,V3,channel3,,32.5749999999988,,
C,V3,channel1,,32.5822999999988,,
C,V3,channel3,,32.5895999999988,,
C,V3,channel1,,32.5968999999988,,
C,V3,channel3,,32.6041999999988,,
C,V3,channel1,,32.6114999999988,,
C,V3,channel3,,32.6187999999988,,
C,V3,channel1,,32.6260999999988,,
C,V3,channel3,,32.6333999999988,,
C,V3,channel1,,32.6406999999988,,
C,V3,channel3,,32.6479999999988,,
C,V3,channel1,,32.6552999999988,,
C,V3,channel3,,32.6625999999988,,
C,V3,channel1,,32.6698999999988,,
C,V3,channel3,,32.6771999999988,,
C,V3,channel1,,32.6844999999988,,
C,V3,channel3,,32.6917999999988,,
C,V3,channel1,,32.6990999999988,,
C,V3,channel3,,32.7063999999988,,
C,V3,channel1,,32.7136999999988,,
C,V3,channel3,,32.7209999999987,,
C,V3,channel1,,32.7282999999987,,
C,V3,channel3,,32.7355999999987,,
C,V3,channel1,,32.7428999999987,,
C,V3,channel3,,32.7501999999987,,
C,V3,channel1,,32.7574999999987,,
C,V3,channel3,,32.7647999999987,,
C,V3,channel1,,32.7720999999987,,
C,V3,channel3,,32.7793999999987,,
C,V3,channel1,,32.7866999999987,,
C,V3,channel3,,32.7939999999987,,
C,V3,channel1,,32.8012999999987,,
C,V3,channel3,,32.8085999999987,,
C,V3,channel1,,32.8158999999987,,
C,V3,channel3,,32.8231999999987,,
C,V3,channel1,,32.8304999999987,,
C,V3,channel3,,32.8377999999987,,
C,V3,channel1,,32.8450999999987,,
C,V3,channel3,,32.8523999999987,,
C,V3,channel1,,32.8596999999987,,
C,V3,channel3,,32.8669999999987,,
C,V3,channel1,,32.8742999999987,,
C,V3,channel3,,32.8815999999987,,
C,V3,channel1,,32.8888999999987,,
C,V3,channel3,,32.8961999999987,,
C,V3,channel1,,32.9034999999987,,
C,V3,channel3,,32.9107999999987,,
C,V3,channel1,,32.9180999999987,,
C,V3,channel3,,32.9253999999987,,
C,V3,channel1,,32.9326999999987,,
C,V3,channel3,,32.9399999999987,,
C,V3,channel1,,32.9472999999987,,
C,V3,channel3,,32.9545999999986,,
C,V3,channel1,,32.9618999999986,,
C,V3,channel3,,32.9691999999987,,
C,V3,channel1,,32.9764999999987,,
C,V3,channel3,,32.9837999999986,,
C,V3,channel1,,32.9910999999986,,
C,V3,channel3,,32.9983999999986,,
C,V3,channel1,,33.0056999999986,,
C,V3,channel3,,33.0129999999986,,
C,V3,channel1,,33.0202999999986,,
C,V3,channel3,,33.0275999999986,,
C,V3,channel1,,33.0348999999986,,
C,V3,channel3,,33.0421999999986,,
C,V3,channel1,,33.0494999999986,,
C,V3,channel3,,33.0567999999986,,
C,V3,channel1,,33.0640999999986,,
C,V3,channel3,,33.0713999999986,,
C,V3,channel1,,33.0786999999986,,
C,V3,channel3,,33.0859999999986,,
C,V3,channel1,,33.0932999999986,,
C,V3,channel3,,33.1005999999986,,
C,V3,channel1,,33.1078999999986,,
C,V3,channel3,,33.1151999999986,,
C,V3,channel1,,33.1224999999986,,
C,V3,channel3,,33.1297999999986,,
C,V3,channel1,,33.1370999999986,,
C,V3,channel3,,33.1443999999986,,
C,V3,channel1,,33.1516999999986,,
C,V3,channel3,,33.1589999999986,,
C,V3,channel1,,33.1662999999986,,
C,V3,channel3,,33.1735999999986,,
C,V3,channel1,,33.1808999999986,,
C,V3,channel3,,33.1881999999986,,
C,V3,channel1,,33.1954999999986,,
C,V3,channel3,,33.2027999999986,,
C,V3,channel1,,33.2100999999986,,
C,V3,channel3,,33.2173999999985,,
C,V3,channel1,,33.2246999999985,,
C,V3,channel3,,33.2319999999985,,
C,V3,channel1,,33.2392999999986,,
C,V3,channel3,,33.2465999999985,,
C,V3,channel1,,33.2538999999985,,
C,V3,channel3,,33.2611999999985,,
C,V3,channel1,,33.2684999999985,,
C,V3,channel3,,33.2757999999985,,
C,V3,channel1,,33.2830999999985,,
C,V3,channel3,,33.2903999999985,,
C,V3,channel1,,33.2976999999985,,
C,V3,channel3,,33.3049999999985,,
C,V3,channel1,,33.3122999999985,,
C,V3,channel3,,33.3195999999985,,
C,V3,channel1,,33.3268999999985,,
C,V3,channel3,,33.3341999999985,,
C,V3,channel1,,33.3414999999985,,
C,V3,channel3,,33.3487999999985,,
C,V3,channel1,,33.3560999999985,,
C,V3,channel3,,33.3633999999985,,
C,V3,channel1,,33.3706999999985,,
C,V3,channel3,,33.3779999999985,,
C,V3,channel1,,33.3852999999985,,
C,V3,channel3,,33.3925999999985,,
C,V3,channel1,,33.3998999999985,,
C,V3,channel3,,33.4071999999985,,
C,V3,channel1,,33.4144999999985,,
C,V3,channel3,,33.4217999999985,,
C,V3,channel1,,33.4290999999985,,
C,V3,channel3,,33.4363999999985,,
C,V3,channel1,,33.4436999999985,,
C,V3,channel3,,33.4509999999985,,
C,V3,channel1,,33.4582999999985,,
C,V3,channel3,,33.4655999999985,,
C,V3,channel1,,33.4728999999985,,
C,V3,channel3,,33.4801999999985,,
C,V3,channel1,,33.4874999999984,,
C,V3,channel3,,33.4947999999984,,
C,V3,channel1,,33.5020999999984,,
C,V3,channel3,,33.5093999999984,,
C,V3,channel1,,33.5166999999984,,
C,V3,channel3,,33.5239999999984,,
C,V3,channel1,,33.5312999999984,,
C,V3,channel3,,33.5385999999984,,
C,V3,channel1,,33.5458999999984,,
C,V3,channel3,,33.5531999999984,,
C,V3,channel1,,33.5604999999984,,
C,V3,channel3,,33.5677999999984,,
C,V3,channel1,,33.5750999999984,,
C,V3,channel3,,33.5823999999984,,
C,V3,channel1,,33.5896999999984,,
C,V3,channel3,,33.5969999999984,,
C,V3,channel1,,33.6042999999984,,
C,V3,channel3,,33.6115999999984,,
C,V3,channel1,,33.6188999999984,,
C,V3,channel3,,33.6261999999984,,
C,V3,channel1,,33.6334999999984,,
C,V3,channel3,,33.6407999999984,,
C,V3,channel1,,33.6480999999984,,
C,V3,channel3,,33.6553999999984,,
C,V3,channel1,,33.6626999999984,,
C,V3,channel3,,33.6699999999984,,
C,V3,channel1,,33.6772999999984,,
C,V3,channel3,,33.6845999999984,,
C,V3,channel1,,33.6918999999984,,
C,V3,channel3,,33.6991999999984,,
C,V3,channel1,,33.7064999999984,,
C,V3,channel3,,33.7137999999984,,
C,V3,channel1,,33.7210999999984,,
C,V3,channel3,,33.7283999999984,,
C,V3,channel1,,33.7356999999984,,
C,V3,channel3,,33.7429999999984,,
C,V3,channel1,,33.7502999999984,,
C,V3,channel3,,33.7575999999983,,
C,V3,channel1,,33.7648999999983,,
C,V3,channel3,,33.7721999999983,,
C,V3,channel1,,33.7794999999983,,
C,V3,channel3,,33.7867999999983,,
C,V3,channel1,,33.7940999999983,,
C,V3,channel3,,33.8013999999983,,
C,V3,channel1,,33.8086999999983,,
C,V3,channel3,,33.8159999999983,,
C,V3,channel1,,33.8232999999983,,
C,V3,channel3,,33.8305999999983,,
C,V3,channel1,,33.8378999999983,,
C,V3,channel3,,33.8451999999983,,
C,V3,channel1,,33.8524999999983,,
C,V3,channel3,,33.8597999999983,,
C,V3,channel1,,33.8670999999983,,
C,V3,channel3,,33.8743999999983,,
C,V3,channel1,,33.8816999999983,,
C,V3,channel3,,33.8889999999983,,
C,V3,channel1,,33.8962999999983,,
C,V3,channel3,,33.9035999999983,,
C,V3,channel1,,33.9108999999983,,
C,V3,channel3,,33.9181999999983,,
C,V3,channel1,,33.9254999999983,,
C,V3,channel3,,33.9327999999983,,
C,V3,channel1,,33.9400999999983,,
C,V3,channel3,,33.9473999999983,,
C,V3,channel1,,33.9546999999983,,
C,V3,channel3,,33.9619999999983,,
C,V3,channel1,,33.9692999999983,,
C,V3,channel3,,33.9765999999983,,
C,V3,channel1,,33.9838999999983,,
C,V3,channel3,,33.9911999999983,,
C,V3,channel1,,33.9984999999983,,
C,V3,channel3,,34.0057999999983,,
C,V3,channel1,,34.0130999999983,,
C,V3,channel3,,34.0203999999983,,
C,V3,channel1,,34.0276999999982,,
C,V3,channel3,,34.0349999999982,,
C,V3,channel1,,34.0422999999982,,
C,V3,channel3,,34.0495999999982,,
C,V3,channel1,,34.0568999999982,,
C,V3,channel3,,34.0641999999982,,
C,V3,channel1,,34.0714999999982,,
C,V3,channel3,,34.0787999999982,,
C,V3,channel1,,34.0860999999982,,
C,V3,channel3,,34.0933999999982,,
C,V3,channel1,,34.1006999999982,,
C,V3,channel3,,34.1079999999982,,
C,V3,channel1,,34.1152999999982,,
C,V3,channel3,,34.1225999999982,,
C,V3,channel1,,34.1298999999982,,
C,V3,channel3,,34.1371999999982,,
C,V3,channel1,,34.1444999999982,,
C,V3,channel3,,34.1517999999982,,
C,V3,channel1,,34.1590999999982,,
C,V3,channel3,,34.1663999999982,,
C,V3,channel1,,34.1736999999982,,
C,V3,channel3,,34.1809999999982,,
C,V3,channel1,,34.1882999999982,,
C,V3,channel3,,34.1955999999982,,
C,V3,channel1,,34.2028999999982,,
C,V3,channel3,,34.2101999999982,,
C,V3,channel1,,34.2174999999982,,
C,V3,channel3,,34.2247999999982,,
C,V3,channel1,,34.2320999999982,,
C,V3,channel3,,34.2393999999982,,
C,V3,channel1,,34.2466999999982,,
C,V3,channel3,,34.2539999999982,,
C,V3,channel1,,34.2612999999982,,
C,V3,channel3,,34.2685999999982,,
C,V3,channel1,,34.2758999999982,,
C,V3,channel3,,34.2831999999981,,
C,V3,channel1,,34.2904999999981,,
C,V3,channel3,,34.2977999999981,,
C,V3,channel1,,34.3050999999981,,
C,V3,channel3,,34.3123999999981,,
C,V3,channel1,,34.3196999999981,,
C,V3,channel3,,34.3269999999981,,
C,V3,channel1,,34.3342999999981,,
C,V3,channel3,,34.3415999999981,,
C,V3,channel1,,34.3488999999981,,
C,V3,channel3,,34.3561999999981,,
C,V3,channel1,,34.3634999999981,,
C,V3,channel3,,34.3707999999981,,
C,V3,channel1,,34.3780999999981,,
C,V3,channel3,,34.3853999999981,,
C,V3,channel1,,34.3926999999981,,
C,V3,channel3,,34.3999999999981,,
C,V3,channel1,,34.4072999999981,,
C,V3,channel3,,34.4145999999981,,
C,V3,channel1,,34.4218999999981,,
C,V3,channel3,,34.4291999999981,,
C,V3,channel1,,34.4364999999981,,
C,V3,channel3,,34.4437999999981,,
C,V3,channel1,,34.4510999999981,,
C,V3,channel3,,34.4583999999981,,
C,V3,channel1,,34.4656999999981,,
C,V3,channel3,,34.4729999999981,,
C,V3,channel1,,34.4802999999981,,
C,V3,channel3,,34.4875999999981,,
C,V3,channel1,,34.4948999999981,,
C,V3,channel3,,34.5021999999981,,
C,V3,channel1,,34.5094999999981,,
C,V3,channel3,,34.5167999999981,,
C,V3,channel1,,34.5240999999981,,
C,V3,channel3,,34.5313999999981,,
C,V3,channel1,,34.5386999999981,,
C,V3,channel3,,34.545999999998,,
C,V3,channel1,,34.553299999998,,
C,V3,channel3,,34.560599999998,,
C,V3,channel1,,34.567899999998,,
C,V3,channel3,,34.575199999998,,
C,V3,channel1,,34.582499999998,,
C,V3,channel3,,34.589799999998,,
C,V3,channel1,,34.597099999998,,
C,V3,channel3,,34.604399999998,,
C,V3,channel1,,34.611699999998,,
C,V3,channel3,,34.618999999998,,
C,V3,channel1,,34.626299999998,,
C,V3,channel3,,34.633599999998,,
C,V3,channel1,,34.640899999998,,
C,V3,channel3,,34.648199999998,,
C,V3,channel1,,34.655499999998,,
C,V3,channel3,,34.662799999998,,
C,V3,channel1,,34.670099999998,,
C,V3,channel3,,34.677399999998,,
C,V3,channel1,,34.684699999998,,
C,V3,channel3,,34.691999999998,,
C,V3,channel1,,34.699299999998,,
C,V3,channel3,,34.706599999998,,
C,V3,channel1,,34.713899999998,,
C,V3,channel3,,34.721199999998,,
C,V3,channel1,,34.728499999998,,
C,V3,channel3,,34.735799999998,,
C,V3,channel1,,34.743099999998,,
C,V3,channel3,,34.750399999998,,
C,V3,channel1,,34.757699999998,,
C,V3,channel3,,34.764999999998,,
C,V3,channel1,,34.772299999998,,
C,V3,channel3,,34.7795999999979,,
C,V3,channel1,,34.7868999999979,,
C,V3,channel3,,34.794199999998,,
C,V3,channel1,,34.801499999998,,
C,V3,channel3,,34.8087999999979,,
C,V3,channel1,,34.8160999999979,,
C,V3,channel3,,34.8233999999979,,
C,V3,channel1,,34.8306999999979,,
C,V3,channel3,,34.8379999999979,,
C,V3,channel1,,34.8452999999979,,
C,V3,channel3,,34.8525999999979,,
C,V3,channel1,,34.8598999999979,,
C,V3,channel3,,34.8671999999979,,
C,V3,channel1,,34.8744999999979,,
C,V3,channel3,,34.8817999999979,,
C,V3,channel1,,34.8890999999979,,
C,V3,channel3,,34.8963999999979,,
C,V3,channel1,,34.9036999999979,,
C,V3,channel3,,34.9109999999979,,
C,V3,channel1,,34.9182999999979,,
C,V3,channel3,,34.9255999999979,,
C,V3,channel1,,34.9328999999979,,
C,V3,channel3,,34.9401999999979,,
C,V3,channel1,,34.9474999999979,,
C,V3,channel3,,34.9547999999979,,
C,V3,channel1,,34.9620999999979,,
C,V3,channel3,,34.9693999999979,,
C,V3,channel1,,34.9766999999979,,
C,V3,channel3,,34.9839999999979,,
C,V3,channel1,,34.9912999999979,,
C,V3,channel3,,34.9985999999979,,
C,V3,channel1,,35.0058999999979,,
C,V3,channel3,,35.0131999999979,,
C,V3,channel1,,35.0204999999979,,
C,V3,channel3,,35.0277999999979,,
C,V3,channel1,,35.0350999999979,,
C,V3,channel3,,35.0423999999979,,
C,V3,channel1,,35.0496999999978,,
C,V3,channel3,,35.0569999999978,,
C,V3,channel1,,35.0642999999978,,
C,V3,channel3,,35.0715999999978,,
C,V3,channel1,,35.0788999999978,,
C,V3,channel3,,35.0861999999978,,
C,V3,channel1,,35.0934999999978,,
C,V3,channel3,,35.1007999999978,,
C,V3,channel1,,35.1080999999978,,
C,V3,channel3,,35.1153999999978,,
C,V3,channel1,,35.1226999999978,,
C,V3,channel3,,35.1299999999978,,
C,V3,channel1,,35.1372999999978,,
C,V3,channel3,,35.1445999999978,,
C,V3,channel1,,35.1518999999978,,
C,V3,channel3,,35.1591999999978,,
C,V3,channel1,,35.1664999999978,,
C,V3,channel3,,35.1737999999978,,
C,V3,channel1,,35.1810999999978,,
C,V3,channel3,,35.1883999999978,,
C,V3,channel1,,35.1956999999978,,
C,V3,channel3,,35.2029999999978,,
C,V3,channel1,,35.2102999999978,,
C,V3,channel3,,35.2175999999978,,
C,V3,channel1,,35.2248999999978,,
C,V3,channel3,,35.2321999999978,,
C,V3,channel1,,35.2394999999978,,
C,V3,channel3,,35.2467999999978,,
C,V3,channel1,,35.2540999999978,,
C,V3,channel3,,35.2613999999978,,
C,V3,channel1,,35.2686999999978,,
C,V3,channel3,,35.2759999999978,,
C,V3,channel1,,35.2832999999978,,
C,V3,channel3,,35.2905999999978,,
C,V3,channel1,,35.2978999999978,,
C,V3,channel3,,35.3051999999978,,
C,V3,channel1,,35.3124999999978,,
C,V3,channel3,,35.3197999999978,,
C,V3,channel1,,35.3270999999977,,
C,V3,channel3,,35.3343999999977,,
C,V3,channel1,,35.3416999999977,,
C,V3,channel3,,35.3489999999977,,
C,V3,channel1,,35.3562999999977,,
C,V3,channel3,,35.3635999999977,,
C,V3,channel1,,35.3708999999977,,
C,V3,channel3,,35.3781999999977,,
C,V3,channel1,,35.3854999999977,,
C,V3,channel3,,35.3927999999977,,
C,V3,channel1,,35.4000999999977,,
C,V3,channel3,,35.4073999999977,,
C,V3,channel1,,35.4146999999977,,
C,V3,channel3,,35.4219999999977,,
C,V3,channel1,,35.4292999999977,,
C,V3,channel3,,35.4365999999977,,
C,V3,channel1,,35.4438999999977,,
C,V3,channel3,,35.4511999999977,,
C,V3,channel1,,35.4584999999977,,
C,V3,channel3,,35.4657999999977,,
C,V3,channel1,,35.4730999999977,,
C,V3,channel3,,35.4803999999977,,
C,V3,channel1,,35.4876999999977,,
C,V3,channel3,,35.4949999999977,,
C,V3,channel1,,35.5022999999977,,
C,V3,channel3,,35.5095999999977,,
C,V3,channel1,,35.5168999999977,,
C,V3,channel3,,35.5241999999977,,
C,V3,channel1,,35.5314999999977,,
C,V3,channel3,,35.5387999999977,,
C,V3,channel1,,35.5460999999977,,
C,V3,channel3,,35.5533999999977,,
C,V3,channel1,,35.5606999999977,,
C,V3,channel3,,35.5679999999977,,
C,V3,channel1,,35.5752999999977,,
C,V3,channel3,,35.5825999999977,,
C,V3,channel1,,35.5898999999976,,
C,V3,channel3,,35.5971999999976,,
C,V3,channel1,,35.6044999999976,,
C,V3,channel3,,35.6117999999976,,
C,V3,channel1,,35.6190999999976,,
C,V3,channel3,,35.6263999999976,,
C,V3,channel1,,35.6336999999976,,
C,V3,channel3,,35.6409999999976,,
C,V3,channel1,,35.6482999999976,,
C,V3,channel3,,35.6555999999976,,
C,V3,channel1,,35.6628999999976,,
C,V3,channel3,,35.6701999999976,,
C,V3,channel1,,35.6774999999976,,
C,V3,channel3,,35.6847999999976,,
C,V3,channel1,,35.6920999999976,,
C,V3,channel3,,35.6993999999976,,
C,V3,channel1,,35.7066999999976,,
C,V3,channel3,,100.0,,
