category_test,category_fixture,category_stage,FAI10,FAI12,FAI13,FAI14
A,V1,channel1,18.0494,,,
A,V1,channel2,18.0478,,,
A,V1,channel3,18.0517,,,
A,V1,channel1,18.0496,,,
A,V1,channel2,18.0532,,,
A,V1,channel3,18.0309,,,
B,V1,channel1,18.045,,,
B,V1,channel2,18.0443,,,
B,V1,channel3,18.0431,,,
B,V1,channel1,18.0435,,,
B,V1,channel2,18.0518,,,
B,V1,channel3,18.0552,,,
B,V1,channel1,18.0454,,,
B,V1,channel2,18.0325,,,
B,V1,channel3,18.0281,,,
B,V1,channel1,18.0477,,,
B,V1,channel2,18.0481,,,
B,V1,channel3,18.0482,,,
B,V1,channel1,18.0445,,,
B,V1,channel2,18.0559,,,
B,V1,channel3,18.0726,,,
B,V1,channel1,18.0473,,,
B,V1,channel2,18.04,,,
B,V1,channel3,18.0546,,,
B,V1,channel1,18.0372,,,
B,V1,channel2,18.0345,,,
B,V1,channel3,18.0641,,,
B,V1,channel1,18.0683,,,
B,V1,channel2,18.0386,,,
B,V1,channel3,18.0723,,,
B,V1,channel1,18.0523,,,
B,V1,channel2,18.0478,,,
B,V2,channel3,18.0672,,,
B,V2,channel1,18.0662,,,
B,V2,channel2,18.05,,,
B,V2,channel3,18.0512,,,
B,V2,channel1,18.0519,,,
B,V2,channel2,18.0506,,,
B,V2,channel3,18.0453,,,
B,V2,channel1,18.0503,,,
B,V2,channel2,18.0493,,,
B,V2,channel3,18.0676,,,
B,V2,channel1,18.0468,,,
B,V2,channel2,18.0482,,,
B,V2,channel3,18.0484,,,
B,V2,channel1,18.0474,,,
B,V2,channel2,18.0421,,,
B,V2,channel3,18.0448,,,
B,V2,channel1,18.054,,,
B,V2,channel2,18.0497,,,
B,V2,channel3,18.0524,,,
B,V2,channel1,18.0428,,,
B,V2,channel2,18.0573,,,
B,V2,channel3,18.0524,,,
B,V2,channel1,18.048,,,
B,V2,channel2,18.0508,,,
B,V2,channel3,18.0534,,,
B,V2,channel1,18.0536,,,
B,V2,channel2,18.04,,,
B,V2,channel3,18.0475,,,
B,V2,channel1,18.0484,,,
B,V2,channel2,18.0488,,,
B,V2,channel3,18.049,,,
B,V2,channel1,18.0497,,,
B,V2,channel2,18.0525,,,
B,V2,channel3,18.0476,,,
B,V2,channel1,18.0494,,,
C,V2,channel2,18.0495,,,
C,V2,channel3,18.051,,,
C,V2,channel1,18.0473,,,
C,V2,channel2,18.0692,,,
C,V2,channel3,18.0479,,,
C,V3,channel1,18.047,,,
C,V3,channel2,18.0583,,,
C,V3,channel3,18.0504,,,
C,V3,channel1,18.0502,,,
C,V3,channel2,18.0686,,,
C,V3,channel3,18.0687,,,
C,V3,channel1,18.0668,,,
C,V3,channel2,18.0661,,,
C,V3,channel3,18.0444,,,
C,V3,channel1,18.0485,,,
A,V1,channel1,18.0938,,,
A,V1,channel2,18.0812,,,
A,V1,channel3,18.0619,,,
A,V1,channel1,18.0544,,,
A,V1,channel2,18.0532,,,
A,V1,channel3,18.0405,,,
A,V1,channel1,18.0453,,,
A,V1,channel2,18.0633,,,
A,V1,channel3,18.0675,,,
A,V1,channel1,18.0795,,,
A,V1,channel2,18.0709,,,
A,V1,channel3,18.0513,,,
A,V1,channel1,18.0706,,,
A,V1,channel2,18.0617,,,
A,V1,channel3,18.0458,,,
A,V1,channel1,18.068,,,
A,V1,channel2,18.066,,,
A,V1,channel3,18.067,,,
A,V1,channel1,18.0575,,,
A,V1,channel2,18.0568,,,
A,V1,channel3,18.0606,,,
A,V1,channel1,18.0549,,,
A,V1,channel2,18.0622,,,
A,V1,channel3,18.041,,,
B,V1,channel1,18.0527,,,
B,V1,channel2,18.0485,,,
B,V1,channel3,18.049,,,
B,V1,channel1,18.0516,,,
B,V1,channel2,18.06,,,
B,V1,channel3,18.068,,,
B,V1,channel1,18.0534,,,
B,V1,channel2,18.0494,,,
B,V1,channel3,18.0349,,,
B,V1,channel1,18.0567,,,
B,V1,channel2,18.0538,,,
B,V1,channel3,18.0538,,,
B,V1,channel1,18.0475,,,
B,V1,channel2,18.062,,,
B,V1,channel3,18.0907,,,
B,V1,channel1,18.0512,,,
B,V1,channel2,18.075,,,
B,V1,channel3,18.0642,,,
B,V1,channel1,18.0394,,,
B,V1,channel2,18.0401,,,
B,V1,channel3,18.0843,,,
B,V1,channel1,18.076,,,
B,V1,channel2,18.0412,,,
B,V1,channel3,18.0831,,,
B,V1,channel1,18.0614,,,
B,V1,channel2,18.0541,,,
B,V2,channel3,18.0764,,,
B,V2,channel1,18.0829,,,
B,V2,channel2,18.0533,,,
B,V2,channel3,18.0545,,,
B,V2,channel1,18.0557,,,
B,V2,channel2,18.0527,,,
B,V2,channel3,18.049,,,
B,V2,channel1,18.0542,,,
B,V2,channel2,18.0492,,,
B,V2,channel3,18.0849,,,
B,V2,channel1,18.0489,,,
B,V2,channel2,18.0511,,,
B,V2,channel3,18.0489,,,
B,V2,channel1,18.0543,,,
B,V2,channel2,18.0424,,,
B,V2,channel3,18.0462,,,
B,V2,channel1,18.0696,,,
B,V2,channel2,18.0552,,,
B,V2,channel3,18.0623,,,
B,V2,channel1,18.0434,,,
B,V2,channel2,18.0691,,,
B,V2,channel3,18.0609,,,
B,V2,channel1,18.0496,,,
B,V2,channel2,18.0663,,,
B,V2,channel3,18.0649,,,
B,V2,channel1,18.087,,,
B,V2,channel2,18.0404,,,
B,V2,channel3,18.051,,,
B,V2,channel1,18.0519,,,
B,V2,channel2,18.0555,,,
B,V2,channel3,18.0519,,,
B,V2,channel1,18.0566,,,
B,V2,channel2,18.0567,,,
B,V2,channel3,18.05,,,
B,V2,channel1,18.0505,,,
C,V2,channel2,18.0546,,,
C,V2,channel3,18.0647,,,
C,V2,channel1,18.0545,,,
C,V2,channel2,18.0781,,,
C,V2,channel3,18.0512,,,
C,V3,channel1,18.0533,,,
C,V3,channel2,18.0696,,,
C,V3,channel3,18.0531,,,
C,V3,channel1,18.0637,,,
C,V3,channel2,18.0796,,,
C,V3,channel3,18.0771,,,
C,V3,channel1,18.0898,,,
C,V3,channel2,18.088,,,
